HRLM,TC,GSR,INCLY,INCLZ,INCLX
75,32.375,505,-0.0272805404,86.3738098144,-3.7129399776
75,32.375,505,-0.1087280988,86.3311157226,-3.3529584407
75,32.3125,511,0.1498437404,86.689338684,-3.5332376956
75,32.5,505,-0.1493886709,86.5092468261,-3.4407925605
75,32.5,505,0.1087345123,86.6031341552,-3.6831760406
75,32.4375,505,-0.2173078298,86.3560562133,-3.6306829452
75,32.375,505,-0.1902460002,86.4099731445,-3.3817706108
75,32.375,505,-0.0681413269,86.663192749,-3.6332626342
75,32.4375,505,-0.2039796829,86.4066467285,-3.5091958045
75,32.5625,505,0.0955215454,86.5351486206,-3.3649685382
75,32.5,505,0.0544621372,86.6802444458,-3.4939167499
75,32.4375,505,0.0272793292,86.5516281127,-3.4272310733
75,32.375,505,0.0271840453,86.6183090209,-3.6291632652
75,32.375,505,-0.1636124992,86.4127960205,-3.3297138214
75,32.4375,511,-0.150025835,86.7125473022,-3.3617780208
75,32.4375,504,0.013602637,86.68384552,-3.534923315
75,32.375,510,,86.5107269287,-3.5670723915
75,32.5,505,0.0273162508,86.4784698486,-3.6332733631
75,32.4375,505,-0.14958539,86.409286499,-3.5458414554
19,32.4375,505,-0.0408874702,86.4995727539,-3.6077299118
19,32.4375,505,-0.1355395436,86.4353637695,-3.5161209106
19,32.4375,505,-0.1225785732,86.5273895263,-3.6503176689
19,32.3125,505,-0.0272227716,86.3952331542,-3.7806248664
19,32.5625,505,0.068192892,86.2644042968,-3.6326231956
19,32.375,505,-0.122826147,86.410949707,-3.7103023529
19,32.5,505,-0.1086509943,86.3337554931,-3.5322387218
19,32.3125,505,-0.0136293601,86.513381958,-3.4699690341
19,32.5,505,-0.1911417198,86.5704040527,-3.6691188812
19,32.4375,512,-0.1090443611,86.3749084472,-3.5202884674
19,32.375,505,-0.1909037208,86.5201797485,-3.7725539207
19,32.4375,505,-0.0544380092,86.2727050781,-3.4947483539
19,32.375,505,,86.5509033203,-3.7536084651
19,32.4375,505,-0.2038551092,86.286491394,-3.5382742881
