INCLY,INCLZ,INCLX
1.8677802085,83.986541748,-5.8423767089
1.9670805931,83.8788223266,-6.0294003486
1.8886987686,83.7252578735,-6.0458021163
2.098275423,83.6435165405,-6.219546318
1.8557081222,83.5530700683,-5.995100975
1.9408188819,83.7420272827,-6.1305408477
1.9491443634,83.6104507446,-5.9223260879
2.3517880439,83.670349121,-5.9261198043
1.9677204132,83.7991638183,-6.1630926132
2.1507120132,83.5153198242,-5.7447271347
2.1205739974,83.919555664,-5.8022518157
1.9902421951,83.9093322753,-5.9535741806
1.9994966506,83.7629852294,-5.9363088607
1.8623033523,83.8220748901,-5.983066082
1.9277581214,83.7575302124,-5.8893761634
1.8102773666,83.882446289,-6.1894268989
1.9597359657,83.5510635375,-6.066769123
1.9690871238,83.6650390625,-5.9285259246
1.9775920867,83.7937393188,-5.7386269569
1.9646290779,83.9779052734,-6.0504660606
2.0043992996,83.6694641113,-6.1266574859
1.943583393,83.6158447265,-6.0404682159
2.1596505641,83.6280136108,-6.0524349212
2.0277612209,83.66015625,-5.8152103424
2.1536242961,83.8418807983,-5.6951560974
1.9774658203,84.0148086547,-5.8601651191
2.027503252,83.8423309326,-6.0586671829
2.2106940746,83.593421936,-6.0828394889
2.0514132976,83.6237335205,-5.9839367866
1.8643635749,83.7759780883,-5.8993601799
2.0399527549,83.8011856079,-6.0904836654
2.0765521526,83.6083602905,-5.8715782165
1.8362251281,83.8917236328,-6.0544462203
2.0374617576,83.6551361083,-5.855248928
2.0435023307,83.8416976928,-6.1370649337
1.9969143867,83.5894927978,-5.6371378898
1.8945332527,84.096710205,-6.1224942207
2.0328328609,83.592048645,-5.2015461921
2.3277361392,84.3443984985,-6.1234164237
1.773790121,83.6686096191,-5.8391604423
1.966160202,83.8821640014,-5.8268055915
2.2294206619,83.8041381835,-6.5530962944
1.720285511,83.2686004638,-6.1276845932
1.9346102714,83.6175994873,-5.8235902786
2.2028625011,83.8166503906,-6.0888500213
1.9854116439,83.6389541625,-5.7830605506
2.0292332172,83.914604187,-5.9814510345
1.949682331,83.7522583007,-5.7519469261
1.9505911827,83.9698410034,-5.8367590904
1.8561285972,83.9189147949,-5.8029236793
2.1814272403,83.8436126708,-5.7840237617
2.0927686691,83.8922348022,-5.80113554
2.2300534248,83.8278961181,-6.2067556381
2.1876718997,83.4617767333,-5.8638162612
1.8833135604,83.8847961425,-6.1647057533
1.8203483581,83.6157989501,-6.02257061
2.0133135318,83.6931076049,-6.5808191299
1.6965607643,83.2477874755,-5.7931847572
1.8237571716,83.970298767,-5.827152729
1.9120847702,83.9107360839,-5.7974772453
1.7706059455,83.9820480346,-5.8018054962
2.0534386634,83.8888244628,-5.7074847221
1.9450568199,84.0137557983,-5.8477339744
1.8006767272,83.9251022338,-6.0633387565
2.1173381805,83.6206283569,-5.8285422325
1.826256752,83.9358062744,-5.9182443618
2.2244865894,83.7203598022,-6.0001692771
1.9060116767,83.7479095458,-5.8166589736
2.0674638748,83.8701019287,-6.0725564956
1.9573616981,83.6631698608,-5.975716114
2.0067849159,83.7396469116,-5.9586963653
2.1954598426,83.6926193237,-6.0463724136
2.1578772068,83.623046875,-5.8951802253
2.0254433155,83.8098983764,-6.0935668945
1.8780303955,83.6671447753,-5.9126925468
2.0811915397,83.7749099731,-5.9746136665
2.0925507545,83.7126693725,-6.1345233917
2.1639108657,83.5378952026,-5.8404517173
1.9939185142,83.8719787597,-6.0673656463
2.1866805553,83.5934829711,-5.8709239959
2.2273402214,83.7636413574,-5.9796423912
1.8766335487,83.776397705,-5.9092841148
2.1159205436,83.7664260864,-6.0350303649
2.0898294448,83.6564865112,-5.865035057
1.8248300552,83.9013824462,-5.8433642387
2.0760056972,83.842048645,-5.4558768272
1.8574762344,84.2804336547,-6.1520013809
1.8927779197,83.6069107055,-5.8654723167
1.9156229019,83.8731994628,-6.3208055496
2.1756963729,83.3579864501,-5.9588127136
1.7016478538,83.8469390869,-5.9103412628
1.9579429626,83.8172454833,-5.7976932525
1.9929276466,83.9127655029,-5.8189926147
1.8684848785,83.9320526123,-5.6995034217
1.9462869644,84.0209121704,-5.9874563217
2.0697879791,83.7080688476,-5.8171215057
2.2393045425,83.8096237182,-6.03033638
2.1314332485,83.6470794677,-6.3792433738
1.8230752944,83.4089355468,-6.044195652
1.9298386573,83.6986541748,-5.8750967979
1.9145669937,83.8643722534,-6.1236677169
2.2046597003,83.5343475341,-5.5733299255
2.1667656898,84.0634613037,-6.6671814918
1.9592996597,83.0940322875,-6.0685777664
2.0966842174,83.6225128173,-6.4626560211
1.9667045593,83.2879257202,-5.9907298088
1.9297836303,83.7496109008,-6.868294239
1.5287792682,83.0076751708,-5.8872799873
2.0138092041,83.8211669921,-6.0779523849
2.0543684959,83.627418518,-6.1682372093
2.0525524616,83.5423583984,-6.0883188247
2.0305624008,83.625213623,-7.5979499816
2.2958605289,82.1044845581,-5.9968004226
2.0367171764,83.7100143432,-6.1076884269
2.0964431762,83.5855865478,-6.1048717498
